Date,SPY
2014-01-02,151.70680236816406
2014-01-03,151.6819610595703
2014-01-06,151.24240112304688
2014-01-07,152.17124938964844
2014-01-08,152.2044219970703
2014-01-09,152.303955078125
2014-01-10,152.7186279296875
2014-01-13,150.68670654296875
2014-01-14,152.328857421875
2014-01-15,153.14991760253906
2014-01-16,152.95086669921875
2014-01-17,152.303955078125
2014-01-21,152.75186157226562
2014-01-22,152.85133361816406
2014-01-23,151.59902954101562
2014-01-24,148.364501953125
2014-01-27,147.6347198486328
2014-01-28,148.5138397216797
2014-01-29,147.0873260498047
2014-01-30,148.6464385986328
2014-01-31,147.77569580078125
2014-02-03,144.44989013671875
2014-02-04,145.4617462158203
2014-02-05,145.27931213378906
2014-02-06,147.195068359375
2014-02-07,149.0197296142578
2014-02-10,149.2934112548828
2014-02-11,150.92726135253906
2014-02-12,151.0019073486328
2014-02-13,151.781494140625
2014-02-14,152.61920166015625
2014-02-18,152.80157470703125
2014-02-19,151.78977966308594
2014-02-20,152.68548583984375
2014-02-21,152.51132202148438
2014-02-24,153.35728454589844
2014-02-25,153.2992401123047
2014-02-26,153.30747985839844
2014-02-27,154.1119842529297
2014-02-28,154.5017852783203
2014-03-03,153.41531372070312
2014-03-04,155.57164001464844
2014-03-05,155.71270751953125
2014-03-06,156.0692901611328
2014-03-07,156.13565063476562
2014-03-10,156.05271911621094
2014-03-11,155.28138732910156
2014-03-12,155.32290649414062
2014-03-13,153.58120727539062
2014-03-14,153.14991760253906
2014-03-17,154.53500366210938
2014-03-18,155.63800048828125
2014-03-19,154.80870056152344
2014-03-20,155.71270751953125
2014-03-21,155.10867309570312
2014-03-24,154.4673309326172
2014-03-25,155.2003631591797
2014-03-26,154.08407592773438
2014-03-27,153.7592010498047
2014-03-28,154.5172882080078
2014-03-31,155.783447265625
2014-04-01,156.81640625
2014-04-02,157.34120178222656
2014-04-03,157.1329345703125
2014-04-04,155.27536010742188
2014-04-07,153.5592498779297
2014-04-08,154.19235229492188
2014-04-09,155.85012817382812
2014-04-10,152.5763397216797
2014-04-11,151.20181274414062
2014-04-14,152.39303588867188
2014-04-15,153.44264221191406
2014-04-16,155.05039978027344
2014-04-17,155.26699829101562
2014-04-21,155.80844116210938
2014-04-22,156.51651000976562
2014-04-23,156.1499786376953
2014-04-24,156.4665069580078
2014-04-25,155.1836700439453
2014-04-28,155.6751251220703
2014-04-29,156.39987182617188
2014-04-30,156.86639404296875
2014-05-01,156.88308715820312
2014-05-02,156.65811157226562
2014-05-05,156.95806884765625
2014-05-06,155.5918426513672
2014-05-07,156.50820922851562
2014-05-08,156.341552734375
2014-05-09,156.57484436035156
2014-05-12,158.09927368164062
2014-05-13,158.2408905029297
2014-05-14,157.49118041992188
2014-05-15,156.10833740234375
2014-05-16,156.6498565673828
2014-05-19,157.224609375
2014-05-20,156.23333740234375
2014-05-21,157.5494842529297
2014-05-22,157.9326934814453
2014-05-23,158.5657196044922
2014-05-27,159.5404052734375
2014-05-28,159.42379760742188
2014-05-29,160.24847412109375
2014-05-30,160.50668334960938
2014-06-02,160.68994140625
2014-06-03,160.60667419433594
2014-06-04,160.93153381347656
2014-06-05,161.9811248779297
2014-06-06,162.75584411621094
2014-06-09,162.92247009277344
2014-06-10,162.9391326904297
2014-06-11,162.37266540527344
2014-06-12,161.2230682373047
2014-06-13,161.71456909179688
2014-06-16,161.84786987304688
2014-06-17,162.29774475097656
2014-06-18,163.4888916015625
2014-06-19,163.67218017578125
2014-06-20,164.00445556640625
2014-06-23,163.95420837402344
2014-06-24,162.96658325195312
2014-06-25,163.7031707763672
2014-06-26,163.58595275878906
2014-06-27,163.904052734375
2014-06-30,163.82032775878906
2014-07-01,164.9167938232422
2014-07-02,165.08421325683594
2014-07-03,165.89610290527344
2014-07-07,165.318603515625
2014-07-08,164.2555389404297
2014-07-09,164.99209594726562
2014-07-10,164.33924865722656
2014-07-11,164.5652618408203
2014-07-14,165.3939208984375
2014-07-15,165.08421325683594
2014-07-16,165.6952362060547
2014-07-17,163.81201171875
2014-07-18,165.48593139648438
2014-07-21,165.17628479003906
2014-07-22,165.89610290527344
2014-07-23,166.26441955566406
2014-07-24,166.27273559570312
2014-07-25,165.4943084716797
2014-07-28,165.56134033203125
2014-07-29,164.849853515625
2014-07-30,164.875
2014-07-31,161.61900329589844
2014-08-01,161.1251220703125
2014-08-04,162.28860473632812
2014-08-05,160.7150115966797
2014-08-06,160.76528930664062
2014-08-07,159.89471435546875
2014-08-08,161.74452209472656
2014-08-11,162.21322631835938
2014-08-12,161.9872589111328
2014-08-13,163.08370971679688
2014-08-14,163.8538055419922
2014-08-15,163.82032775878906
2014-08-18,165.1930694580078
2014-08-19,166.05519104003906
2014-08-20,166.49874877929688
2014-08-21,166.9842071533203
2014-08-22,166.7247772216797
2014-08-25,167.57009887695312
2014-08-26,167.678955078125
2014-08-27,167.61199951171875
2014-08-28,167.5198974609375
2014-08-29,167.99703979492188
2014-09-02,167.91329956054688
2014-09-03,167.82122802734375
2014-09-04,167.5785369873047
2014-09-05,168.33181762695312
2014-09-08,167.8966064453125
2014-09-09,166.8336181640625
2014-09-10,167.46133422851562
2014-09-11,167.65383911132812
2014-09-12,166.67457580566406
2014-09-15,166.54896545410156
2014-09-16,167.80453491210938
2014-09-17,168.030517578125
2014-09-18,168.92611694335938
2014-09-19,168.77386474609375
2014-09-22,167.47042846679688
2014-09-23,166.5117950439453
2014-09-24,167.8152313232422
2014-09-25,165.10748291015625
2014-09-26,166.41929626464844
2014-09-29,166.1165771484375
